PDFIndex,10DigitBBl,StreetNumber,StreetName,DOFGrossSquareFootage,EnergyStar1-100Score,EnergyEfficiencyGrade
250,1006380004,433,WEST STREET,63000,99,A
251,1006410010,128,JANE STREET,50820,99,A
252,1006420001,113,JANE STREET,43618,93,A
253,1006457501,837,WASHINGTON STREET,53588,93,A
254,1006460030,420,WEST 14 STREET,30162,88,A
255,1006460049,405,WEST 13 STREET,28307,100,A
256,1006720001,601,WEST 26 STREET,1835150,92,A
257,1006920015,529,WEST 20 STREET,111329,96,A
258,1006920023,513,WEST 20 STREET,83240,94,A
259,1006970047,518,WEST 26 STREET,218019,86,A
260,1006970056,536,WEST 26 STREET,144079,95,A
261,1006980018,519,WEST 26 STREET,135214,89,A
262,1006990009,537,WEST 27 STREET,34345,91,A
263,1006997502,540,WEST 28 STREET,127715,98,A
264,1007007502,550,WEST 29 STREET,73206,100,A
265,1007167506,425,WEST 18 STREET,134004,100,A
266,1007187502,180,10 AVENUE,140360,99,A
267,1007220026,415,WEST 24 STREET,42204,96,A
268,1007280060,442,WEST 31 STREET,112146,92,A
269,1007310060,430,WEST 34 STREET,108402,89,A
270,1007320025,413,WEST 34 STREET,122073,98,A
271,1007320036,433,9 AVENUE,515174,96,A
272,1007367501,511,9 AVENUE,144242,88,A
273,1007380014,337,WEST 14 STREET,28821,99,A
274,1007380015,335,WEST 14 STREET,28321,99,A
275,1007380048,312,WEST 15 STREET,28078,88,A
276,1007387504,345,WEST 14 STREET,73172,98,A
277,1007427501,305,WEST 18 STREET,52698,92,A
278,1007457503,225,8 AVENUE,82481,100,A
279,1007460038,237,8 AVENUE,38802,94,A
280,1007460060,334,WEST 23 STREET,32000,85,A
281,1007470028,315,WEST 23 STREET,120010,96,A
282,1007490017,341,WEST 25 STREET,31797,94,A
283,1007537502,308,WEST 30 STREET,53449,93,A
284,1007540016,345,WEST 30 STREET,25657,88,A
285,1007540078,362,9 AVENUE,338962,86,A
286,1007570054,330,WEST 34 STREET,646464,94,A
287,1007580037,481,8 AVENUE,1300727,93,A
288,1007580082,440,9 AVENUE,342596,91,A
289,1007590026,325,WEST 35 STREET,63363,95,A
290,1007590037,501,8 AVENUE,266912,88,A
291,1007590072,356,WEST 36 STREET,74368,88,A
292,1007600012,347,WEST 36 STREET,98454,88,A
293,1007600032,307,WEST 36 STREET,232458,92,A
294,1007600039,523,8 AVENUE,98674,86,A
295,1007600043,531,8 AVENUE,137003,88,A
296,1007600055,320,WEST 37 STREET,100244,88,A
297,1007600063,336,WEST 37 STREET,122817,96,A
298,1007610020,325,WEST 37 STREET,48843,100,A
299,1007610028,307,WEST 37 STREET,102824,99,A
300,1007610033,545,8 AVENUE,166874,88,A
301,1007610037,555,8 AVENUE,162260,93,A
302,1007610053,330,WEST 38 STREET,180064,99,A
303,1007620011,341,WEST 38TH STREET,54935,94,A
304,1007620019,325,WEST 38 STREET,110188,89,A
305,1007620033,575,8 AVENUE,224400,95,A
306,1007620050,318,WEST 39 STREET,156508,87,A
307,1007620067,350,WEST 39 STREET,179130,100,A
308,1007630018,333,WEST 39 STREET,93661,87,A
309,1007630067,346,WEST 40 STREET,200590,100,A
