PDFIndex,10DigitBBl,StreetNumber,StreetName,DOFGrossSquareFootage,EnergyStar1-100Score,EnergyEfficiencyGrade
10414,4050420057,133-33,SANFORD AVENUE,49532,56,C
10415,4050427505,133-17,SANFORD AVENUE,74007,59,C
10416,4050440063,138-47,BARCLAY AVENUE,65313,62,C
10417,4050457501,41-40,UNION STREET,383600,60,C
10418,4050460040,142-19,BARCLAY AVENUE,53620,62,C
10419,4050460045,142-09,BARCLAY AVENUE,44051,56,C
10420,4050487503,143-26,41 AVENUE,35573,58,C
10421,4050490001,143-07,SANFORD AVENUE,77205,63,C
10422,4050500031,144-70,41 AVENUE,95720,65,C
10423,4050510020,144-41,SANFORD AVENUE,108239,62,C
10424,4050530011,147-25,SANFORD AVENUE,76649,55,C
10425,4050530021,147-05,SANFORD AVENUE,56651,67,C
10426,4051010033,132-70,SANFORD AVENUE,67652,56,C
10427,4051017506,132-40,SANFORD AVENUE,94709,66,C
10428,4051220029,134-54,MAPLE AVENUE,147897,59,C
10429,4051220046,134-25,FRANKLIN AVENUE,171319,64,C
10430,4051230004,134-14,FRANKLIN AVENUE,89367,66,C
10431,4051230061,42-60,MAIN STREET,166600,57,C
10432,4051357502,42-35,MAIN STREET,268168,61,C
10433,4051370084,43-32,KISSENA BOULEVARD,278825,65,C
10434,4051450055,138-70,ELDER AVENUE,130326,65,C
10435,4051450081,137-47,45 AVENUE,205585,63,C
10436,4051800043,42-14,UNION STREET,29621,63,C
10437,4051800049,42-30,UNION STREET,35893,65,C
10438,4051810001,142-05,FRANKLIN AVENUE,71058,56,C
10439,4051810028,142-30,SANFORD AVENUE,106415,61,C
10440,4051827502,142-20,FRANKLIN AVENUE,170233,64,C
10441,4051860019,140-30,BEECH AVENUE,25139,59,C
10442,4051860024,140-40,BEECH AVENUE,25139,59,C
10443,4051900014,42-66,PHLOX PLACE,62954,59,C
10444,4051920001,44-65,KISSENA BOULEVARD,197569,55,C
10445,4051930001,43-57,UNION STREET,75030,55,C
10446,4051930009,43-35,UNION STREET,146735,62,C
10447,4052817501,35-91,161 STREET,58052,58,C
10448,4053100001,189-31,39 AVENUE,26655,67,C
10449,4053740027,144-54,SANFORD AVENUE,173358,69,C
10450,4055410005,45-64,FRANCIS LEWIS BOULEVARD,61410,65,C
10451,4058650112,16-70,BELL BOULEVARD,147700,58,C
10452,4059580075,23-45,BELL BOULEVARD,157080,68,C
10453,4063270001,221-17,NORTHERN BOULEVARD,37727,58,C
10454,4063287501,222-15,NORTHERN BOULEVARD,49511,68,C
10455,4065270052,144-75,MELBOURNE AVENUE,115212,59,C
10456,4066560063,70-04,KISSENA BOULEVARD,225968,68,C
10457,4066980040,150-10,71 AVENUE,466368,63,C
10458,4067120032,150-10,79 AVENUE,55662,60,C
10459,4067410006,163-03,HORACE HARDING EXPWY,41000,58,C
10460,4068530006,80-25,PARSONS BOULEVARD,58089,65,C
10461,4074740050,220-55,46 AVENUE,336200,63,C
10462,4078400002,224-01,SPRINGFIELD BOULEVARD,120886,67,C
10463,4079120050,226-26,UNION TURNPIKE,214152,57,C
10464,4079290002,224-01,HILLSIDE AVENUE,257000,68,C
10465,4079450025,224-10,HILLSIDE AVENUE,140000,65,C
10466,4082150024,249-20,NORTHERN BOULEVARD,36400,63,C
10467,4086680143,251-21,JERICHO TURNPIKE,36667,59,C
10468,4090110014,82-01,ROCKAWAY BOULEVARD,45531,66,C
10469,4091150039,103-54,94 STREET,30245,66,C
10470,4092090055,115-25,84 AVENUE,55600,61,C
10471,4092250001,111-18,86 AVENUE,46108,69,C
10472,4092300060,119-51,METROPOLITAN AVENUE,33000,59,C
10473,4092360033,120-07,85 AVENUE,46692,66,C
10474,4092460305,124-16,84 ROAD,82767,68,C
10475,4092650001,85-11,LEFFERTS BOULEVARD,43284,66,C
10476,4092650006,85-10,120 STREET,61092,68,C
10477,4093060030,100-01,92 AVENUE,31023,64,C
10478,4093510001,119-02,91 AVENUE,32000,61,C
10479,4093750272,131-11,ATLANTIC AVENUE,170080,59,C
10480,4096600030,82-46,135 STREET,103842,57,C
10481,4096600135,82-08,135 STREET,53600,63,C
10482,4096660080,137-01,83 AVENUE,126552,59,C
10483,4096670001,82-30,HOOVER AVENUE,64248,67,C
10484,4096670025,82-41,135 STREET,64248,64,C
10485,4096690030,135-23,82 AVENUE,30766,68,C
10486,4096780042,90-10,149 STREET,98748,61,C
10487,4096780112,90-36,149 STREET,110538,57,C
10488,4096790052,90-11,149 STREET,136000,59,C
10489,4096800018,89-04,148 STREET,70592,64,C
10490,4096930001,88-25,148 STREET,88900,61,C
10491,4096930029,148-48,88 AVENUE,83394,56,C
10492,4096970052,152-09,88 AVENUE,49754,64,C
10493,4097100037,139-60,85 DRIVE,114000,61,C
10494,4097120159,141-48,84 DRIVE,30047,59,C
10495,4097120161,142-02,84 DRIVE,66924,62,C
10496,4097130102,140-18,BURDEN CRESCENT,57672,56,C
10497,4097150220,140-55,BURDEN CRESCENT,63360,57,C
10498,4097240196,86-19,144 STREET,65988,65,C
10499,4097360108,143-25,84 DRIVE,174888,68,C
10500,4097530015,153-02,90 AVENUE,57144,60,C
10501,4097550001,89-21,153 STREET,41396,67,C
10502,4097570023,90-04,160 STREET,57721,58,C
10503,4097580035,89-20,161 STREET,75600,56,C
10504,4097600001,161-01,JAMAICA AVENUE,91693,55,C
10505,4097610036,89-09,162 STREET,127323,56,C
10506,4097640082,88-44,161 STREET,95915,55,C
10507,4097930001,163-19,JAMAICA AVENUE,54978,64,C
10508,4098030024,89-12,170 STREET,140040,60,C
10509,4098097501,91-14,175 STREET,36105,67,C
10510,4098140116,87-84,165 STREET,59470,58,C
10511,4098170006,88-05,MERRICK BOULEVARD,71826,58,C
10512,4098307501,87-26,175 STREET,39989,67,C
10513,4098307502,87-12,175 STREET,33349,61,C
10514,4098340041,175-45,88 AVENUE,108024,55,C
10515,4098340056,175-21,88 AVENUE,100947,68,C
10516,4098350033,177-30,WEXFORD TERRACE,64798,59,C
10517,4098360022,164-20,HIGHLAND AVENUE,115312,64,C
10518,4099370042,87-24,MIDLAND PARKWAY,61769,62,C
10519,4099500009,182-30,WEXFORD TERRACE,184896,59,C
10520,4099510011,182-25,WEXFORD TERRACE,80550,61,C
10521,4100010001,95-04,149 STREET,53666,57,C
10522,4101020010,162-24,JAMAICA AVENUE,38255,63,C
10523,4101550024,92-30,MERRICK BOULEVARD,47744,69,C
10524,4102190287,175-41,LIBERTY AVENUE,34700,56,C
10525,4105920150,210-10,GRND CNTRL PARKWAY SR E,145056,61,C
10526,4107890279,95-20,222 STREET,98116,55,C
10527,4108190001,92-41,190 STREET,316540,60,C
10528,4108200001,91-59,191 STREET,32100,65,C
10529,4108210060,91-32,195 STREET,69312,61,C
10530,4114040136,137-30,REDDING STREET,32419,59,C
10531,4114177501,85-09,151 AVENUE,202489,61,C
10532,4114177502,149-30,88 STREET,199444,58,C
10533,4114290001,82-12,151 AVENUE,30072,62,C
10534,4114407501,78-10,153 AVENUE,52400,56,C
10535,4114460001,84-09,155 AVENUE,158600,56,C
10536,4114460012,84-10,153 AVENUE,158600,56,C
10537,4114460050,84-40,153 AVENUE,158600,58,C
10538,4115430100,112-20,ROCKAWAY BOULEVARD,150384,56,C
10539,4118860001,148-18,134 STREET,75838,68,C
10540,4118860010,132-26,SOUTH CONDUIT AVENUE,69700,55,C
10541,4122770001,131-10,GUY R BREWER BOULEVARD,100752,69,C
10542,4123230036,112-33,167 STREET,61677,66,C
10543,4123810010,122-05,SMITH STREET,40850,63,C
10544,4125290230,169-30,BAISLEY BOULEVARD,56926,68,C
10545,4133640040,147-35,FARMERS BOULEVARD,40105,55,C
10546,4133760040,147-39,175 STREET,36100,59,C
10547,4134110016,149-10,183 STREET,39611,69,C
10548,4134120001,182-17,150 AVENUE,92850,60,C
10549,4134740012,145-69,226 STREET,67400,63,C
10550,4134750016,145-68,228 STREET,105989,61,C
10551,4137910022,230-59,ROCKAWAY BOULEVARD,178870,60,C
10552,4137910023,230-79,ROCKAWAY BOULEVARD,141782,62,C
10553,4150090051,156-06,ROCKAWAY BOULEVARD,42550,60,C
10554,4150110025,145-11,156 STREET,35751,63,C
10555,4155070007,833,CENTRAL AVENUE,91776,55,C
10556,4155430046,12-13,NEILSON STREET,37260,68,C
10557,4155577501,10-11,NAMEOKE STREET,73860,60,C
10558,4155840004,6-31,BEACH 9 STREET,63347,58,C
10559,4156127502,146,BEACH 9 STREET,69803,60,C
10560,4156220100,14-10,NEW HAVEN AVENUE,143312,55,C
10561,4156240001,2-52,BEACH 14 STREET,163737,63,C
10562,4157090006,22-14,LORETTA ROAD,57551,57,C
10563,4160010002,51-32,BEACH CHANNEL DRIVE,587170,61,C
10564,4160020001,56-10,BEACH CHANNEL DRIVE,820910,61,C
10565,4161550021,320,BEACH 100 STREET,485077,56,C
10566,4161680017,142,BEACH 96 STREET,31634,57,C
10567,4161750001,102-00,SHORE FRONT PARKWAY,657345,59,C
10568,4162240001,128-11,NEWPORT AVENUE,48259,62,C
10569,4162260062,160,BEACH 117 STREET,67000,64,C
10570,4162320045,122-20,OCEAN PROMENADE,64920,63,C
10571,5000017503,90,BAY STREET LANDING,182861,56,C
10572,5000070086,36,RICHMOND TERRACE,25242,59,C
10573,5000100019,36,HAMILTON AVENUE,93326,58,C
10574,5000160054,350,ST MARKS PLACE,64680,62,C
10575,5000280077,30,DANIEL LOW TERRACE,96780,63,C
10576,5000620027,572,RICHMOND TERRACE,36835,62,C
10577,5000910070,200,LAFAYETTE AVENUE,94000,62,C
10578,5002030001,1265,CASTLETON AVENUE,30580,60,C
10579,5005797501,55,AUSTIN PLACE,173172,65,C
10580,5005890035,650,VICTORY BOULEVARD,72860,65,C
10581,5010530138,1489,FOREST AVENUE,245118,69,C
10582,5015480050,1501,RICHMOND AVENUE,27273,55,C
10583,5017250085,900,SOUTH AVENUE,73900,59,C
10584,5022500002,140,MEISNER AVENUE,185000,64,C
10585,5023800001,2397,RICHMOND AVENUE,47700,63,C
10586,5024517501,95,ESSEX DRIVE,35212,57,C
10587,5024527501,41,WELLINGTON COURT,112392,55,C
10588,5028297501,31,HYLAN BOULEVARD,72279,65,C
10589,5028940001,231,STEUBEN STREET,98700,68,C
10590,5029220265,140,PARK HILL AVENUE,408800,63,C
10591,5029860012,390,MARYLAND AVENUE,155396,61,C
10592,5031250116,20,FR CAPODANNO BOULEVARD,238368,59,C
10593,5031910061,1160,RICHMOND ROAD,63600,65,C
10594,5033550032,475,SEAVIEW AVENUE,640077,63,C
10595,5033550065,242,MASON AVENUE,53917,63,C
10596,5035437501,175,ZOE STREET,78903,66,C
10597,5035760023,15,LISBON PLACE,34580,62,C
10598,5050160005,25,BAY TERRACE,43018,68,C
10599,5074690200,55,- 65 TYRELLAN AVENUE,155282,69,C
10600,4012380040,39-60,54 STREET,208252,51,D
10601,2036000004,1850,LAFAYETTE AVENUE,1021752,51,D
10602,1008947502,155,EAST 38 STREET,166905,10,D
10603,1000077501,1,COENTIES SLIP,47754,5,D
10604,1000080039,32,PEARL STREET,46724,22,D
10605,1000080051,6,WATER STREET,102407,35,D
10606,1000087501,2,WATER STREET,169061,4,D
10607,1000100033,8,STONE STREET,143731,54,D
10608,1000150022,21,WEST STREET,335746,29,D
10609,1000157502,20,WEST STREET,259076,51,D
10610,1000160180,20,RIVER TERRACE,356786,24,D
10611,1000160185,211,NORTH END AVENUE,283905,14,D
10612,1000160205,455,NORTH END AVENUE,239185,32,D
10613,1000160221,450,NORTH END AVENUE,244617,23,D
10614,1000167503,250,SOUTH END AVENUE,106052,46,D
10615,1000167505,380,RECTOR PLACE,257092,40,D
10616,1000167506,280,RECTOR PLACE,106631,53,D
10617,1000167509,21,SOUTH END AVENUE,237270,49,D
10618,1000167510,99,BATTERY PLACE,305973,50,D
10619,1000167511,2,SOUTH END AVENUE,189273,34,D
10620,1000167512,102,NORTH END AVENUE,641681,35,D
10621,1000167514,30,WEST STREET,422304,33,D
10622,1000167516,1,RIVER TERRACE,531665,40,D
10623,1000167517,71,BATTERY PLACE,508458,15,D
10624,1000167518,333,RECTOR PLACE,262021,52,D
10625,1000167519,300,NORTH END AVENUE,273018,39,D
10626,1000167520,200,NORTH END AVENUE,425407,26,D
10627,1000167522,400,CHAMBERS STREET,360656,41,D
10628,1000167523,325,NORTH END AVENUE,302526,16,D
10629,1000177501,50,WEST STREET,427177,42,D
10630,1000187501,13,RECTOR STREET,366993,15,D
10631,1000220017,32,BROADWAY,143000,38,D
10632,1000247501,40,BROAD STREET,319910,20,D
10633,1000250010,41,BROAD STREET,91553,5,D
10634,1000257502,25,BROAD STREET,433463,18,D
10635,1000260014,37,WALL STREET,377214,32,D
10636,1000267501,15,BROAD STREET,944252,43,D
10637,1000270009,63,WALL STREET,400531,42,D
10638,1000270017,67,WALL STREET,305271,42,D
10639,1000280001,3,HANOVER SQUARE,239121,12,D
10640,1000287501,82,BEAVER STREET,108373,5,D
10641,1000290070,75,BROAD STREET,661283,48,D
10642,1000297503,21,SOUTH WILLIAM STREET,25483,1,D
10643,1000310001,10,HANOVER SQUARE,487404,42,D
10644,1000330011,95,WALL STREET,473460,22,D
10645,1000337501,101,WALL STREET,106598,14,D
10646,1000350001,77,FRONT STREET,973587,54,D
10647,1000370008,110,WALL STREET,267570,19,D
10648,1000390012,110,MAIDEN LANE,1104184,54,D
10649,1000397501,164,PEARL STREET,117641,5,D
10650,1000410024,62,WILLIAM STREET,42000,34,D
10651,1000417501,50,PINE STREET,45352,7,D
10652,1000417503,56,PINE STREET,81412,19,D
10653,1000420001,100,MAIDEN LANE,290116,30,D
10654,1000420022,10,LIBERTY STREET,431000,10,D
10655,1000430005,30,WALL STREET,108663,53,D
10656,1000460001,2,WALL STREET,173159,43,D
10657,1000520021,120,LIBERTY STREET,57945,53,D
10658,1000530033,110,GREENWICH STREET,57941,29,D
10659,1000537501,120,GREENWICH STREET,66872,44,D
10660,1000550014,71,WEST STREET,258071,43,D
10661,1000550016,80,WEST STREET,420322,30,D
10662,1000630006,21,DEY STREET,49109,7,D
10663,1000640001,51,NASSAU STREET,42012,10,D
10664,1000640008,53,LIBERTY STREET,167448,39,D
10665,1000640009,59,LIBERTY STREET,30681,42,D
10666,1000650006,21,MAIDEN LANE,37800,30,D
10667,1000650010,9,MAIDEN LANE,58354,22,D
10668,1000657501,65,NASSAU STREET,32342,10,D
10669,1000687501,80,JOHN STREET,200610,47,D
10670,1000687502,90,WILLIAM STREET,126430,14,D
10671,1000690030,4,PLATT STREET,114226,44,D
10672,1000697502,90,JOHN STREET,372364,38,D
10673,1000710001,156,FRONT STREET,52969,32,D
10674,1000720012,161,FRONT STREET,70044,36,D
10675,1000750001,127,JOHN STREET,541000,49,D
10676,1000760001,64,FULTON STREET,40564,18,D
10677,1000760006,56,FULTON STREET,101542,32,D
10678,1000767501,15,CLIFF STREET,158477,36,D
10679,1000767502,99,JOHN STREET,472059,36,D
10680,1000770001,85,JOHN STREET,160000,33,D
10681,1000770024,82,FULTON STREET,159000,16,D
10682,1000787507,111,WILLIAM STREET,97798,21,D
10683,1000787510,110,FULTON STREET,25997,21,D
10684,1000787511,55,JOHN STREET,115376,53,D
10685,1000797503,71,NASSAU STREET,73121,2,D
10686,1000880014,10,BARCLAY STREET,531000,16,D
10687,1000900017,113,NASSAU STREET,182499,23,D
10688,1000907503,5,BEEKMAN STREET,313980,25,D
10689,1000910013,129,FULTON STREET,38320,48,D
10690,1000917502,111,FULTON STREET,221213,15,D
10691,1000920014,49,ANN STREET,56790,39,D
10692,1000950027,49,FULTON STREET,208576,52,D
10693,1000970018,213,FRONT STREET,40000,2,D
10694,1000977505,241,WATER STREET,31844,14,D
10695,1001000001,52,BEEKMAN STREET,301941,26,D
10696,1001000026,138,NASSAU STREET,79422,54,D
10697,1001007501,150,NASSAU STREET,194294,1,D
10698,1001010001,36,PARK ROW,111685,32,D
10699,1001067504,264,WATER STREET,40203,5,D
10700,1001070038,29,PECK SLIP,39747,42,D
10701,1001070042,23,PECK SLIP,25903,1,D
10702,1001110100,20,MADISON STREET,1264820,37,D
10703,1001237502,30,PARK PLACE,715320,16,D
10704,1001260013,53,PARK PLACE,138600,26,D
10705,1001327501,275,GREENWICH STREET,274175,20,D
10706,1001340025,258,BROADWAY,88320,26,D
10707,1001347503,9,MURRAY STREET,112994,48,D
10708,1001347505,25,MURRAY STREET,144330,53,D
10709,1001367502,38,WARREN STREET,65635,37,D
10710,1001407501,165,CHAMBERS STREET,107190,1,D
10711,1001407502,311,GREENWICH STREET,82151,31,D
10712,1001417504,166,DUANE STREET,109200,4,D
10713,1001420025,310,GREENWICH STREET,1970736,2,D
10714,1001427501,99,WARREN STREET,928915,33,D
10715,1001427502,200,CHAMBERS STREET,403019,23,D
10716,1001427503,111,MURRAY STREET,479813,36,D
10717,1001430021,335,GREENWICH STREET,55800,29,D
10718,1001440001,16,HUDSON STREET,78306,45,D
10719,1001450012,125,CHAMBERS STREET,53039,7,D
10720,1001467501,96,READE STREET,44152,33,D
10721,1001497501,77,READE STREET,87136,48,D
10722,1001497502,281,BROADWAY,146093,30,D
10723,1001510001,105,DUANE STREET,434418,19,D
10724,1001520025,325,BROADWAY,50000,47,D
10725,1001610001,196,PARK ROW,306862,36,D
10726,1001700001,336,BROADWAY,139697,40,D
10727,1001700020,111,WORTH STREET,419639,29,D
10728,1001720001,364,BROADWAY,93378,6,D
10729,1001727501,374,BROADWAY,137500,15,D
10730,1001727504,50,FRANKLIN STREET,94147,23,D
10731,1001730027,343,BROADWAY,396000,54,D
10732,1001737501,66,LEONARD STREET,152495,32,D
10733,1001737504,93,WORTH STREET,166215,45,D
10734,1001740037,349,BROADWAY,42000,54,D
10735,1001757501,377,BROADWAY,100650,47,D
10736,1001767501,56,LEONARD STREET,487508,2,D
10737,1001790066,139,FRANKLIN STREET,56384,54,D
10738,1001797506,14,LEONARD STREET,81650,48,D
10739,1001817503,6,HARRISON STREET,53685,51,D
10740,1001817504,93,HUDSON STREET,142848,40,D
10741,1001870016,377,GREENWICH STREET,75533,1,D
10742,1001877501,375,GREENWICH STREET,63450,9,D
10743,1001877503,111,HUDSON STREET,32223,2,D
10744,1001887502,387,GREENWICH STREET,94723,10,D
10745,1001887503,53,NORTH MOORE STREET,96504,22,D
10746,1001887505,48,BEACH STREET,94532,1,D
10747,1001897501,220,WEST BROADWAY,63996,22,D
10748,1001907505,25,NORTH MOORE STREET,130094,50,D
10749,1001907506,124,HUDSON STREET,81306,48,D
10750,1001910001,2,AVENUE OF THE AMERICAS,133895,18,D
10751,1001937501,395,BROADWAY,130088,19,D
10752,1001960005,408,BROADWAY,56210,53,D
10753,1001960009,416,BROADWAY,31214,1,D
10754,1001960013,268,CANAL STREET,26000,6,D
10755,1001960022,92,WALKER STREET,36894,20,D
10756,1001977502,139,CENTRE STREET,127879,1,D
10757,1001990034,106,BAYARD STREET,30582,4,D
10758,1002007501,198,CANAL STREET,32567,21,D
10759,1002007502,202,CANAL STREET,50089,40,D
10760,1002010018,164,CANAL STREET,39224,53,D
10761,1002030015,58,ELIZABETH STREET,29680,1,D
10762,1002030031,64,BOWERY,27109,3,D
10763,1002040024,41,ELIZABETH STREET,45700,43,D
10764,1002047501,158,HESTER STREET,104865,34,D
10765,1002050030,185,CANAL STREET,33000,23,D
10766,1002057501,103,MOTT STREET,33015,8,D
10767,1002087501,129,LAFAYETTE STREET,75528,51,D
10768,1002090019,138,LAFAYETTE STREET,112900,29,D
10769,1002127503,1,YORK STREET,90918,1,D
10770,1002147502,145,HUDSON STREET,136472,20,D
10771,1002147503,7,HUBERT STREET,109382,10,D
10772,1002177504,71,LAIGHT STREET,114622,23,D
10773,1002207502,28,LAIGHT STREET,101560,19,D
10774,1002227502,195,HUDSON STREET,88496,21,D
10775,1002237502,70,VESTRY STREET,225029,19,D
10776,1002270028,306,WEST BROADWAY,189986,51,D
10777,1002287502,311,WEST BROADWAY,170548,51,D
10778,1002310030,459,BROADWAY,29415,35,D
10779,1002310035,451,BROADWAY,60000,10,D
10780,1002330002,9,CROSBY STREET,121165,31,D
10781,1002367501,173,GRAND STREET,40413,16,D
10782,1002377501,132,MULBERRY STREET,60508,45,D
10783,1002380003,122,MOTT STREET,34500,18,D
10784,1002387502,217,GRAND STREET,47551,44,D
10785,1002390012,92,ELIZABETH STREET,39100,27,D
10786,1002397501,80,ELIZABETH STREET,113956,1,D
10787,1002430056,645,WATER STREET,251500,19,D
10788,1002440019,605,WATER STREET,124600,19,D
10789,1002440040,621,WATER STREET,60417,14,D
10790,1002450001,286,SOUTH STREET,277260,13,D
10791,1002480070,80,RUTGERS SLIP,83904,21,D
10792,1002487501,225,CHERRY STREET,1451246,51,D
10793,1002550001,45,PIKE STREET,644053,26,D
10794,1002560001,300,CHERRY STREET,527043,8,D
10795,1002560014,272,CHERRY STREET,101786,8,D
10796,1002580001,318,CHERRY STREET,431685,8,D
10797,1002590001,604,WATER STREET,126150,19,D
10798,1002590071,35,MONTGOMERY STREET,287175,19,D
10799,1002600001,636,WATER STREET,513000,17,D
10800,1002600075,668,WATER STREET,382500,17,D
10801,1002630001,14,JACKSON STREET,158000,17,D
10802,1002630008,453,FDR DRIVE,923000,34,D
10803,1002660065,549,GRAND STREET,41733,34,D
10804,1002670001,305,MADISON STREET,136070,19,D
10805,1002670010,280,HENRY STREET,25127,19,D
10806,1002670024,345,MADISON STREET,79000,17,D
10807,1002710057,152,HENRY STREET,37565,51,D
10808,1002747501,48,MARKET STREET,32802,21,D
10809,1002747502,148,MADISON STREET,74881,7,D
10810,1002777501,25,MARKET STREET,61451,1,D
10811,1002777502,45,HENRY STREET,34098,21,D
10812,1002800052,17,CATHERINE STREET,25701,12,D
10813,1002810001,2,EAST BROADWAY,33234,51,D
10814,1002810006,16,EAST BROADWAY,28055,1,D
10815,1002820023,95,HENRY STREET,44491,39,D
10816,1002830024,10,RUTGERS STREET,74453,48,D
10817,1002837502,135,DIVISION STREET,25366,15,D
10818,1002840011,173,HENRY STREET,33601,1,D
10819,1002847503,173,EAST BROADWAY,50673,10,D
10820,1002947502,2,ALLEN STREET,38887,40,D
10821,1002977502,48,HESTER STREET,26566,1,D
10822,1003000008,50,ELDRIDGE STREET,32000,34,D
10823,1003030025,61,CHRYSTIE STREET,40529,23,D
10824,1003040021,249,GRAND STREET,26565,1,D
10825,1003040035,75,CHRYSTIE STREET,26965,10,D
10826,1003070001,45,ALLEN STREET,109269,22,D
10827,1003090022,51,LUDLOW STREET,26300,36,D
10828,1003110013,357,GRAND STREET,1025341,43,D
10829,1003210001,570,GRAND STREET,1231250,34,D
10830,1003310065,500,GRAND STREET,299510,35,D
10831,1003310120,530,GRAND STREET,532006,34,D
10832,1003310200,275,DELANCEY STREET,98862,35,D
10833,1003330001,87,DELANCEY STREET,1191180,10,D
10834,1003380001,60,PITT STREET,478858,21,D
10835,1003410001,460,GRAND STREET,265181,22,D
10836,1003410058,410,GRAND STREET,225000,13,D
10837,1003410070,131,BROOME STREET,231417,12,D
10838,1003440017,129,RIDGE STREET,27299,47,D
10839,1003450020,155,RIDGE STREET,35045,41,D
10840,1003467501,145,CLINTON STREET,283178,35,D
10841,1003470080,150,BROOME STREET,180090,13,D
10842,1003480036,150,DELANCEY STREET,48002,25,D
10843,1003480040,90,CLINTON STREET,38498,16,D
10844,1003500069,155,ATTORNEY STREET,31455,54,D
10845,1003510001,62,ESSEX STREET,198260,13,D
10846,1003537501,103,NORFOLK STREET,50563,27,D
10847,1003537503,115,NORFOLK STREET,34261,32,D
10848,1003720026,306,EAST 3 STREET,46162,42,D
10849,1003720041,310,EAST 2ND STREET,131660,41,D
10850,1003730023,340,EAST 4 STREET,27042,35,D
10851,1003730064,279,EAST 3 STREET,26793,38,D
10852,1003740025,734,EAST 5 STREET,49792,22,D
10853,1003740043,353,EAST 4 STREET,27226,41,D
10854,1003750001,72,AVENUE C,73392,36,D
10855,1003750045,721,EAST 5 STREET,39260,36,D
10856,1003757501,71,AVENUE D,34607,21,D
10857,1003770026,390,EAST 8 STREET,30018,12,D
10858,1003780010,710,EAST 9 STREET,34728,36,D
10859,1003790027,436,EAST 10 STREET,92470,35,D
10860,1003820100,162,AVENUE C,553660,51,D
10861,1003847503,310,EAST HOUSTON STREET,42752,3,D
10862,1003850005,27,AVENUE B,32225,26,D
10863,1003850019,228,EAST 3 STREET,31025,53,D
10864,1003860033,274,EAST 4 STREET,132308,8,D
10865,1003870020,620,EAST 5 STREET,32946,36,D
10866,1003900005,121,AVENUE B,28564,38,D
10867,1003900024,334,EAST 8 STREET,29232,39,D
10868,1003920017,364,EAST 10 STREET,46700,28,D
10869,1003920027,384,EAST 10 STREET,49799,53,D
10870,1003930001,159,AVENUE B,31267,27,D
10871,1003930014,610,EAST 11 STREET,30750,35,D
10872,1003930056,355,EAST 10 STREET,38520,41,D
10873,1003947506,189,AVENUE C,32113,25,D
10874,1003950009,606,EAST 13 STREET,127950,13,D
10875,1003950012,620,EAST 13 STREET,100860,6,D
10876,1003950022,205,AVENUE C,149253,1,D
10877,1003970012,157,EAST 2 STREET,27500,1,D
10878,1003977503,250,EAST HOUSTON STREET,169482,35,D
10879,1003980018,176,EAST 3 STREET,43520,30,D
10880,1003980035,24,AVENUE B,77000,39,D
10881,1004050001,174,AVENUE A,40376,50,D
10882,1004057504,525,EAST 11 STREET,34454,35,D
10883,1004077504,524,EAST 14 STREET,66823,40,D
10884,1004097502,242,BROOME STREET,176960,16,D
10885,1004107501,101,LUDLOW STREET,114394,41,D
10886,1004120048,180,LUDLOW STREET,82411,43,D
10887,1004120053,207,EAST HOUSTON STREET,209499,31,D
10888,1004130043,261,BROOME STREET,27370,34,D
10889,1004130051,314,GRAND STREET,29465,54,D
10890,1004150078,80,DELANCEY STREET,25071,22,D
10891,1004170001,224,ELDRIDGE STREET,136000,9,D
10892,1004177501,190,ALLEN STREET,111051,1,D
10893,1004200068,167,ELDRIDGE STREET,32700,52,D
10894,1004207501,40,DELANCEY STREET,58364,1,D
10895,1004210044,174,FORSYTH STREET,38880,27,D
10896,1004250004,189,BOWERY,79408,23,D
10897,1004250014,209,BOWERY,36206,30,D
10898,1004257501,195,BOWERY,44203,21,D
10899,1004260005,223,BOWERY,63599,2,D
10900,1004277504,273,BOWERY,514093,45,D
10901,1004290021,117,EAST 2 STREET,138202,9,D
10902,1004300010,112,EAST 3 STREET,101908,51,D
10903,1004327502,89,AVENUE A,25586,39,D
10904,1004407502,407,EAST 12 STREET,30462,5,D
10905,1004417504,433,EAST 13 STREET,138170,11,D
10906,1004430016,59,EAST 2 STREET,26282,40,D
10907,1004437505,24,2 AVENUE,53702,45,D
10908,1004450045,81,EAST 3 STREET,36047,34,D
10909,1004467502,99,EAST 4 STREET,75782,22,D
10910,1004537501,311,EAST 11 STREET,46707,48,D
10911,1004560007,285,BOWERY,234610,16,D
10912,1004570001,3,EXTRA PLACE,42563,27,D
10913,1004570028,21,2 AVENUE,115187,1,D
10914,1004570128,29,EAST 2 STREET,35598,5,D
10915,1004580006,335,BOWERY,90411,1,D
10916,1004590029,63,2 AVENUE,45426,7,D
10917,1004590032,57,2 AVENUE,36720,22,D
10918,1004637501,63,COOPER SQUARE,32163,4,D
10919,1004650055,145,2 AVENUE,25340,8,D
10920,1004667501,47,3 AVENUE,41323,26,D
10921,1004667502,55,3 AVENUE,67227,1,D
10922,1004670035,175,2 AVENUE,49227,27,D
10923,1004690030,223,2 AVENUE,63158,12,D
10924,1004697505,123,3 AVENUE,65155,32,D
10925,1004700064,124,BOWERY,29940,42,D
10926,1004710055,196,GRAND STREET,26594,4,D
10927,1004730001,462,BROADWAY,141050,40,D
10928,1004737501,476,BROADWAY,70632,15,D
10929,1004747506,40,MERCER STREET,153500,4,D
